,hr,holiday,workingday,temp,hum,windspeed,instant,mnth,yr,Clear to partly cloudy,Light Precipitation,Misty
203,11,0,1,0.72,0.62,0.1343,13207,7,1,0,0,1
898,10,0,1,0.74,0.7,0.1343,13902,8,1,0,0,1
863,23,0,0,0.72,0.79,0.1642,13867,8,1,0,0,1
624,0,0,1,0.72,0.7,0.0,13628,7,1,1,0,0
410,2,0,1,0.74,0.66,0.1343,13414,7,1,1,0,0
600,0,0,1,0.66,0.65,0.1939999999999999,13604,7,1,1,0,0
613,13,0,1,0.86,0.53,0.2985,13617,7,1,1,0,0
764,20,0,1,0.74,0.66,0.1642,13768,8,1,1,0,0
1014,6,0,0,0.64,0.65,0.1642,14018,8,1,1,0,0
810,18,0,1,0.82,0.59,0.2537,13814,8,1,0,0,1
746,2,0,1,0.64,0.83,0.1045,13750,8,1,1,0,0
633,9,0,1,0.82,0.49,0.2836,13637,7,1,1,0,0
1215,15,0,1,0.72,0.54,0.2537,14219,8,1,1,0,0
1259,11,0,1,0.72,0.58,0.0896,14263,8,1,1,0,0
787,19,0,1,0.8,0.63,0.1642,13791,8,1,1,0,0
394,10,0,1,0.84,0.49,0.1939999999999999,13398,7,1,0,0,1
167,23,0,0,0.84,0.56,0.1642,13171,7,1,1,0,0
1201,1,0,1,0.6,0.83,0.1642,14205,8,1,1,0,0
448,16,0,1,0.84,0.47,0.0896,13452,7,1,1,0,0
1354,10,0,0,0.74,0.66,0.3881,14358,8,1,1,0,0
831,15,0,0,0.88,0.42,0.4179,13835,8,1,1,0,0
226,10,0,1,0.76,0.62,0.1939999999999999,13230,7,1,1,0,0
668,20,0,0,0.66,0.83,0.2239,13672,7,1,1,0,0
1377,9,0,1,0.66,0.83,0.1045,14381,8,1,1,0,0
352,16,0,0,0.86,0.41,0.2239,13356,7,1,1,0,0
256,16,0,1,0.8,0.38,0.1939999999999999,13260,7,1,1,0,0
466,10,0,1,0.7,0.79,0.1642,13470,7,1,0,0,1
1121,17,0,1,0.82,0.34,0.1939999999999999,14125,8,1,1,0,0
472,16,0,1,0.68,0.83,0.3284,13476,7,1,0,0,1
156,12,0,0,0.96,0.31,0.3582,13160,7,1,1,0,0
654,6,0,0,0.7,0.7,0.1045,13658,7,1,1,0,0
171,3,0,0,0.8,0.59,0.1045,13175,7,1,1,0,0
930,18,0,1,0.78,0.55,0.1642,13934,8,1,0,0,1
182,14,0,0,0.96,0.36,0.1642,13186,7,1,1,0,0
210,18,0,1,0.76,0.48,0.1343,13214,7,1,1,0,0
721,1,0,1,0.66,0.83,0.1343,13725,7,1,1,0,0
1045,13,0,1,0.78,0.4,0.1642,14049,8,1,1,0,0
891,3,0,1,0.7,0.84,0.0,13895,8,1,1,0,0
1179,3,0,0,0.62,0.61,0.1642,14183,8,1,0,0,1
429,21,0,1,0.76,0.62,0.0,13433,7,1,1,0,0
1368,0,0,1,0.62,0.83,0.0,14372,8,1,1,0,0
308,20,0,1,0.74,0.48,0.1343,13312,7,1,1,0,0
879,15,0,1,0.82,0.46,0.1343,13883,8,1,1,0,0
883,19,0,1,0.78,0.59,0.1939999999999999,13887,8,1,1,0,0
351,15,0,0,0.86,0.47,0.1343,13355,7,1,1,0,0
318,6,0,0,0.64,0.78,0.0896,13322,7,1,0,0,1
947,11,0,1,0.84,0.44,0.0,13951,8,1,1,0,0
1213,13,0,1,0.7,0.58,0.1343,14217,8,1,1,0,0
585,9,0,1,0.72,0.37,0.2985,13589,7,1,1,0,0
319,7,0,0,0.64,0.78,0.2836,13323,7,1,1,0,0
196,4,0,1,0.66,0.89,0.3881,13200,7,1,0,1,0
218,2,0,1,0.7,0.74,0.1343,13222,7,1,1,0,0
116,20,0,1,0.86,0.41,0.2239,13120,7,1,0,0,1
1171,19,0,0,0.7,0.45,0.1642,14175,8,1,1,0,0
1142,14,0,1,0.86,0.34,0.4179,14146,8,1,1,0,0
928,16,0,1,0.8,0.49,0.2836,13932,8,1,0,0,1
875,11,0,1,0.76,0.66,0.1343,13879,8,1,1,0,0
1145,17,0,1,0.82,0.36,0.3284,14149,8,1,1,0,0
960,0,0,1,0.7,0.65,0.0896,13964,8,1,1,0,0
1481,17,0,1,0.88,0.32,0.1642,14485,8,1,1,0,0
1049,17,0,1,0.8,0.36,0.1642,14053,8,1,1,0,0
1402,10,0,1,0.74,0.62,0.2537,14406,8,1,1,0,0
450,18,0,1,0.86,0.41,0.1939999999999999,13454,7,1,1,0,0
657,9,0,0,0.78,0.59,0.1045,13661,7,1,1,0,0
1174,22,0,0,0.66,0.61,0.0,14178,8,1,1,0,0
1411,19,0,1,0.74,0.45,0.1642,14415,8,1,1,0,0
828,12,0,0,0.86,0.4,0.3582,13832,8,1,1,0,0
486,6,0,0,0.58,0.88,0.2537,13490,7,1,0,1,0
1311,15,0,1,0.76,0.48,0.1343,14315,8,1,0,0,1
748,4,0,1,0.64,0.78,0.1343,13752,8,1,0,0,1
69,21,0,1,0.7,0.7,0.2836,13073,7,1,0,0,1
1324,4,0,0,0.66,0.69,0.1045,14328,8,1,0,0,1
188,20,0,0,0.76,0.7,0.0896,13192,7,1,1,0,0
150,6,0,0,0.74,0.74,0.1045,13154,7,1,1,0,0
1096,16,0,1,0.76,0.48,0.1939999999999999,14100,8,1,1,0,0
938,2,0,1,0.7,0.84,0.0896,13942,8,1,1,0,0
866,2,0,1,0.72,0.79,0.1343,13870,8,1,0,0,1
502,22,0,0,0.6,0.88,0.1045,13506,7,1,0,0,1
558,6,0,1,0.66,0.83,0.1343,13562,7,1,1,0,0
802,10,0,1,0.8,0.52,0.1939999999999999,13806,8,1,0,0,1
708,12,0,1,0.76,0.58,0.1045,13712,7,1,0,0,1
929,17,0,1,0.8,0.55,0.2836,13933,8,1,0,0,1
644,20,0,1,0.78,0.59,0.1045,13648,7,1,1,0,0
627,3,0,1,0.7,0.74,0.1642,13631,7,1,1,0,0
129,9,0,1,0.82,0.36,0.1343,13133,7,1,1,0,0
1400,8,0,1,0.66,0.85,0.1045,14404,8,1,0,0,1
84,12,1,0,0.86,0.41,0.2239,13088,7,1,1,0,0
275,11,0,1,0.76,0.45,0.1045,13279,7,1,1,0,0
65,17,0,1,0.86,0.3,0.1642,13069,7,1,0,0,1
584,8,0,1,0.7,0.42,0.2537,13588,7,1,1,0,0
1090,10,0,1,0.72,0.62,0.1939999999999999,14094,8,1,0,0,1
735,15,0,1,0.76,0.62,0.1343,13739,7,1,1,0,0
1166,14,0,0,0.76,0.37,0.2836,14170,8,1,1,0,0
309,21,0,1,0.72,0.54,0.0,13313,7,1,1,0,0
141,21,0,1,0.82,0.52,0.1343,13145,7,1,1,0,0
841,1,0,0,0.74,0.7,0.2537,13845,8,1,1,0,0
260,20,0,1,0.74,0.51,0.1642,13264,7,1,1,0,0
142,22,0,1,0.8,0.55,0.1939999999999999,13146,7,1,1,0,0
1059,3,0,1,0.68,0.83,0.1939999999999999,14063,8,1,0,0,1
1114,10,0,1,0.74,0.48,0.1343,14118,8,1,1,0,0
1248,0,0,1,0.62,0.83,0.1045,14252,8,1,1,0,0
119,23,0,1,0.8,0.55,0.1642,13123,7,1,1,0,0
756,12,0,1,0.8,0.49,0.1045,13760,8,1,1,0,0
1362,18,0,0,0.64,0.89,0.0896,14366,8,1,0,0,1
50,2,0,1,0.72,0.58,0.0,13054,7,1,1,0,0
427,19,0,1,0.76,0.62,0.1045,13431,7,1,0,0,1
1057,1,0,1,0.68,0.79,0.2537,14061,8,1,1,0,0
602,2,0,1,0.66,0.69,0.2537,13606,7,1,1,0,0
741,21,0,1,0.68,0.79,0.1939999999999999,13745,7,1,1,0,0
449,17,0,1,0.86,0.41,0.0,13453,7,1,1,0,0
468,12,0,1,0.68,0.83,0.1642,13472,7,1,0,1,0
1101,21,0,1,0.7,0.61,0.1939999999999999,14105,8,1,1,0,0
1028,20,0,0,0.72,0.45,0.0,14032,8,1,1,0,0
263,23,0,1,0.7,0.58,0.2537,13267,7,1,0,0,1
1385,17,0,1,0.8,0.46,0.2239,14389,8,1,1,0,0
97,1,0,1,0.74,0.51,0.2836,13101,7,1,1,0,0
499,19,0,0,0.6,0.88,0.1642,13503,7,1,0,0,1
1453,13,0,1,0.76,0.48,0.1045,14457,8,1,1,0,0
1356,12,0,0,0.72,0.74,0.3582,14360,8,1,0,1,0
392,8,0,1,0.8,0.55,0.0,13396,7,1,0,0,1
966,6,0,1,0.64,0.89,0.2985,13970,8,1,0,1,0
1254,6,0,1,0.62,0.73,0.0,14258,8,1,1,0,0
43,19,0,1,0.78,0.43,0.1343,13047,7,1,1,0,0
1108,4,0,1,0.62,0.73,0.2239,14112,8,1,1,0,0
1018,10,0,0,0.7,0.51,0.1642,14022,8,1,1,0,0
86,14,1,0,0.9,0.37,0.1642,13090,7,1,1,0,0
332,20,0,0,0.72,0.84,0.0896,13336,7,1,1,0,0
553,1,0,1,0.68,0.79,0.1642,13557,7,1,1,0,0
154,10,0,0,0.92,0.37,0.2239,13158,7,1,1,0,0
1436,20,0,1,0.68,0.57,0.0,14440,8,1,1,0,0
1270,22,0,1,0.64,0.73,0.0,14274,8,1,1,0,0
772,4,0,1,0.66,0.83,0.0,13776,8,1,1,0,0
1071,15,0,1,0.82,0.46,0.2239,14075,8,1,1,0,0
1457,17,0,1,0.82,0.34,0.2239,14461,8,1,1,0,0
1443,3,0,1,0.62,0.73,0.0,14447,8,1,1,0,0
666,18,0,0,0.82,0.43,0.2836,13670,7,1,1,0,0
1265,17,0,1,0.74,0.55,0.2239,14269,8,1,0,1,0
1062,6,0,1,0.64,0.83,0.1939999999999999,14066,8,1,0,1,0
266,2,0,1,0.66,0.65,0.0896,13270,7,1,0,0,1
138,18,0,1,0.9,0.33,0.2537,13142,7,1,1,0,0
1391,23,0,1,0.7,0.84,0.1642,14395,8,1,1,0,0
905,17,0,1,0.78,0.62,0.1343,13909,8,1,0,0,1
707,11,0,1,0.78,0.55,0.1343,13711,7,1,0,0,1
45,21,0,1,0.76,0.45,0.1343,13049,7,1,1,0,0
962,2,0,1,0.7,0.74,0.1642,13966,8,1,1,0,0
847,7,0,0,0.74,0.74,0.2985,13851,8,1,1,0,0
1422,6,0,1,0.6,0.73,0.1939999999999999,14426,8,1,1,0,0
258,18,0,1,0.78,0.38,0.2537,13262,7,1,1,0,0
776,8,0,1,0.72,0.74,0.1045,13780,8,1,1,0,0
523,19,0,0,0.72,0.7,0.1642,13527,7,1,1,0,0
152,8,0,0,0.82,0.63,0.1939999999999999,13156,7,1,1,0,0
910,22,0,1,0.72,0.74,0.1045,13914,8,1,1,0,0
110,14,0,1,0.92,0.33,0.3284,13114,7,1,1,0,0
1347,3,0,0,0.64,0.89,0.2537,14351,8,1,0,0,1
1234,10,0,1,0.66,0.61,0.1045,14238,8,1,1,0,0
1040,8,0,1,0.72,0.51,0.0896,14044,8,1,0,0,1
1027,19,0,0,0.74,0.4,0.1343,14031,8,1,1,0,0
406,22,0,1,0.8,0.55,0.2239,13410,7,1,1,0,0
582,6,0,1,0.64,0.65,0.1939999999999999,13586,7,1,1,0,0
1226,2,0,1,0.58,0.88,0.2836,14230,8,1,0,0,1
163,19,0,0,0.92,0.33,0.1343,13167,7,1,1,0,0
270,6,0,1,0.64,0.73,0.0896,13274,7,1,1,0,0
1483,19,0,1,0.8,0.49,0.1343,14487,8,1,1,0,0
835,19,0,0,0.82,0.52,0.3582,13839,8,1,1,0,0
1279,7,0,1,0.62,0.83,0.0896,14283,8,1,0,0,1
33,9,0,1,0.78,0.46,0.2537,13037,7,1,1,0,0
1000,16,0,0,0.8,0.46,0.2985,14004,8,1,1,0,0
878,14,0,1,0.82,0.46,0.0,13882,8,1,1,0,0
684,12,0,0,0.76,0.55,0.3284,13688,7,1,1,0,0
1331,11,0,0,0.72,0.62,0.2836,14335,8,1,0,0,1
1076,20,0,1,0.74,0.74,0.2239,14080,8,1,1,0,0
580,4,0,1,0.64,0.65,0.2239,13584,7,1,1,0,0
1050,18,0,1,0.76,0.52,0.2836,14054,8,1,1,0,0
517,13,0,0,0.7,0.65,0.0896,13521,7,1,0,0,1
939,3,0,1,0.68,0.83,0.0896,13943,8,1,1,0,0
839,23,0,0,0.76,0.66,0.2985,13843,8,1,1,0,0
15,15,0,0,0.9,0.37,0.2836,13019,7,1,1,0,0
1172,20,0,0,0.7,0.45,0.1045,14176,8,1,1,0,0
597,21,0,1,0.72,0.45,0.1343,13601,7,1,1,0,0
1334,14,0,0,0.66,0.65,0.2537,14338,8,1,0,1,0
1338,18,0,0,0.66,0.69,0.4627,14342,8,1,0,0,1
1064,8,0,1,0.66,0.89,0.0896,14068,8,1,0,0,1
965,5,0,1,0.7,0.84,0.2836,13969,8,1,0,1,0
381,21,0,1,0.76,0.66,0.1343,13385,7,1,1,0,0
346,10,0,0,0.76,0.66,0.1343,13350,7,1,1,0,0
736,16,0,1,0.76,0.58,0.2239,13740,7,1,1,0,0
784,16,0,1,0.82,0.46,0.1939999999999999,13788,8,1,1,0,0
78,6,1,0,0.66,0.69,0.0,13082,7,1,1,0,0
1293,21,0,1,0.7,0.61,0.1343,14297,8,1,1,0,0
5,5,0,0,0.68,0.79,0.1045,13009,7,1,1,0,0
903,15,0,1,0.8,0.52,0.0,13907,8,1,1,0,0
1180,4,0,0,0.62,0.65,0.1642,14184,8,1,0,0,1
864,0,0,1,0.72,0.79,0.0,13868,8,1,0,0,1
1005,21,0,0,0.66,0.89,0.1642,14009,8,1,0,0,1
408,0,0,1,0.76,0.66,0.1642,13412,7,1,1,0,0
792,0,0,1,0.72,0.7,0.1939999999999999,13796,8,1,1,0,0
85,13,1,0,0.9,0.35,0.0,13089,7,1,1,0,0
1285,13,0,1,0.82,0.38,0.0896,14289,8,1,1,0,0
1078,22,0,1,0.72,0.66,0.0896,14082,8,1,1,0,0
587,11,0,1,0.76,0.33,0.0,13591,7,1,1,0,0
1250,2,0,1,0.62,0.78,0.0,14254,8,1,1,0,0
1364,20,0,0,0.64,0.89,0.1642,14368,8,1,1,0,0
489,9,0,0,0.58,0.83,0.1939999999999999,13493,7,1,0,0,1
615,15,0,1,0.92,0.42,0.2985,13619,7,1,1,0,0
1371,3,0,1,0.62,0.88,0.0896,14375,8,1,1,0,0
1069,13,0,1,0.8,0.46,0.0896,14073,8,1,1,0,0
674,2,0,0,0.66,0.74,0.1343,13678,7,1,1,0,0
1341,21,0,0,0.62,0.83,0.3582,14345,8,1,1,0,0
375,15,0,1,0.86,0.47,0.2537,13379,7,1,1,0,0
1017,9,0,0,0.7,0.48,0.2239,14021,8,1,1,0,0
1031,23,0,0,0.68,0.61,0.0,14035,8,1,1,0,0
1291,19,0,1,0.72,0.51,0.0896,14295,8,1,1,0,0
956,20,0,1,0.7,0.54,0.2836,13960,8,1,1,0,0
134,14,0,1,0.9,0.31,0.1642,13138,7,1,1,0,0
738,18,0,1,0.76,0.55,0.2836,13742,7,1,1,0,0
1223,23,0,1,0.6,0.83,0.0,14227,8,1,0,0,1
860,20,0,0,0.7,0.84,0.1045,13864,8,1,1,0,0
72,0,1,0,0.68,0.79,0.0896,13076,7,1,1,0,0
306,18,0,1,0.78,0.46,0.1939999999999999,13310,7,1,1,0,0
1008,0,0,0,0.64,0.73,0.1343,14012,8,1,0,0,1
184,16,0,0,0.8,0.66,0.2239,13188,7,1,0,0,1
303,15,0,1,0.8,0.36,0.1045,13307,7,1,0,0,1
785,17,0,1,0.82,0.52,0.2537,13789,8,1,1,0,0
729,9,0,1,0.72,0.7,0.1045,13733,7,1,1,0,0
209,17,0,1,0.78,0.4,0.1642,13213,7,1,1,0,0
680,8,0,0,0.7,0.65,0.2239,13684,7,1,1,0,0
1199,23,0,0,0.62,0.73,0.0,14203,8,1,0,0,1
1010,2,0,0,0.64,0.69,0.1343,14014,8,1,1,0,0
722,2,0,1,0.66,0.83,0.1343,13726,7,1,1,0,0
1055,23,0,1,0.7,0.7,0.2239,14059,8,1,1,0,0
1228,4,0,1,0.56,0.88,0.0,14232,8,1,1,0,0
932,20,0,1,0.74,0.66,0.1939999999999999,13936,8,1,1,0,0
1479,15,0,1,0.9,0.27,0.2985,14483,8,1,1,0,0
145,1,0,0,0.76,0.7,0.1642,13149,7,1,1,0,0
136,16,0,1,0.92,0.29,0.1045,13140,7,1,1,0,0
444,12,0,1,0.84,0.49,0.2836,13448,7,1,1,0,0
178,10,0,0,0.9,0.45,0.0,13182,7,1,1,0,0
130,10,0,1,0.86,0.3,0.0,13134,7,1,1,0,0
630,6,0,1,0.7,0.79,0.0,13634,7,1,1,0,0
944,8,0,1,0.72,0.74,0.1045,13948,8,1,1,0,0
761,17,0,1,0.8,0.49,0.1642,13765,8,1,1,0,0
1002,18,0,0,0.7,0.74,0.2985,14006,8,1,0,0,1
803,11,0,1,0.84,0.49,0.2836,13807,8,1,0,0,1
564,12,0,1,0.82,0.56,0.2239,13568,7,1,0,0,1
1466,2,0,1,0.66,0.89,0.1343,14470,8,1,1,0,0
328,16,0,0,0.72,0.79,0.3582,13332,7,1,0,0,1
1321,1,0,0,0.68,0.69,0.0,14325,8,1,0,0,1
66,18,0,1,0.86,0.3,0.0,13070,7,1,0,0,1
1340,20,0,0,0.62,0.83,0.2537,14344,8,1,0,1,0
240,0,0,1,0.66,0.83,0.1343,13244,7,1,0,0,1
246,6,0,1,0.64,0.89,0.1343,13250,7,1,1,0,0
81,9,1,0,0.76,0.52,0.0,13085,7,1,1,0,0
120,0,0,1,0.78,0.62,0.1343,13124,7,1,1,0,0
701,5,0,1,0.66,0.83,0.1045,13705,7,1,1,0,0
274,10,0,1,0.74,0.48,0.1642,13278,7,1,1,0,0
611,11,0,1,0.8,0.66,0.2239,13615,7,1,1,0,0
1427,11,0,1,0.72,0.45,0.0,14431,8,1,1,0,0
55,7,0,1,0.74,0.58,0.0,13059,7,1,1,0,0
987,3,0,0,0.62,0.83,0.1642,13991,8,1,0,1,0
908,20,0,1,0.74,0.7,0.1343,13912,8,1,0,0,1
945,9,0,1,0.76,0.66,0.1642,13949,8,1,1,0,0
546,18,0,1,0.82,0.46,0.1045,13550,7,1,1,0,0
186,18,0,0,0.78,0.62,0.1045,13190,7,1,1,0,0
1245,21,0,1,0.64,0.73,0.0,14249,8,1,1,0,0
67,19,0,1,0.84,0.36,0.1343,13071,7,1,0,0,1
1084,4,0,1,0.64,0.83,0.1045,14088,8,1,1,0,0
1191,15,0,0,0.64,0.65,0.0,14195,8,1,0,0,1
