,hr,holiday,workingday,temp,hum,windspeed,instant,mnth,yr,Clear to partly cloudy,Light Precipitation,Misty
215,23,0,1,0.7,0.65,0.1045,13219,7,1,0,0,1
220,4,0,1,0.68,0.79,0.1343,13224,7,1,1,0,0
224,8,0,1,0.72,0.74,0.1343,13228,7,1,1,0,0
238,22,0,1,0.64,0.83,0.1343,13242,7,1,0,0,1
247,7,0,1,0.66,0.83,0.1045,13251,7,1,0,0,1
255,15,0,1,0.8,0.41,0.2537,13259,7,1,1,0,0
259,19,0,1,0.74,0.48,0.2239,13263,7,1,1,0,0
262,22,0,1,0.72,0.58,0.2537,13266,7,1,1,0,0
265,1,0,1,0.66,0.61,0.0,13269,7,1,0,0,1
271,7,0,1,0.64,0.73,0.1343,13275,7,1,1,0,0
281,17,0,1,0.76,0.43,0.2239,13285,7,1,1,0,0
290,2,0,1,0.66,0.61,0.0896,13294,7,1,0,0,1
293,5,0,1,0.66,0.56,0.0896,13297,7,1,0,0,1
296,8,0,1,0.7,0.54,0.0,13300,7,1,0,0,1
312,0,0,0,0.72,0.48,0.0896,13316,7,1,0,0,1
321,9,0,0,0.66,0.74,0.1939999999999999,13325,7,1,1,0,0
322,10,0,0,0.72,0.7,0.0896,13326,7,1,0,0,1
323,11,0,0,0.72,0.7,0.1045,13327,7,1,0,0,1
325,13,0,0,0.76,0.62,0.0896,13329,7,1,0,0,1
330,18,0,0,0.72,0.79,0.1343,13334,7,1,1,0,0
337,1,0,0,0.68,0.89,0.1343,13341,7,1,0,0,1
339,3,0,0,0.68,0.89,0.1642,13343,7,1,0,0,1
340,4,0,0,0.68,0.89,0.1045,13344,7,1,0,0,1
342,6,0,0,0.68,0.83,0.1343,13346,7,1,1,0,0
350,14,0,0,0.9,0.37,0.2537,13354,7,1,1,0,0
355,19,0,0,0.72,0.84,0.2239,13359,7,1,1,0,0
359,23,0,0,0.72,0.79,0.1343,13363,7,1,1,0,0
360,0,0,1,0.72,0.79,0.1045,13364,7,1,0,1,0
361,1,0,1,0.7,0.74,0.1939999999999999,13365,7,1,0,0,1
371,11,0,1,0.84,0.53,0.2239,13375,7,1,1,0,0
380,20,0,1,0.8,0.59,0.1343,13384,7,1,1,0,0
383,23,0,1,0.74,0.74,0.0896,13387,7,1,1,0,0
390,6,0,1,0.72,0.66,0.1045,13394,7,1,1,0,0
401,17,0,1,0.92,0.29,0.0,13405,7,1,1,0,0
405,21,0,1,0.82,0.52,0.1343,13409,7,1,1,0,0
407,23,0,1,0.78,0.59,0.1939999999999999,13411,7,1,1,0,0
411,3,0,1,0.74,0.66,0.1343,13415,7,1,1,0,0
412,4,0,1,0.72,0.7,0.1343,13416,7,1,1,0,0
420,12,0,1,0.92,0.37,0.1343,13424,7,1,1,0,0
422,14,0,1,0.94,0.38,0.3284,13426,7,1,1,0,0
424,16,0,1,0.74,0.66,0.2537,13428,7,1,1,0,0
432,0,0,1,0.74,0.66,0.0896,13436,7,1,1,0,0
434,2,0,1,0.72,0.7,0.1939999999999999,13438,7,1,1,0,0
438,6,0,1,0.72,0.66,0.1343,13442,7,1,1,0,0
439,7,0,1,0.74,0.58,0.2836,13443,7,1,1,0,0
441,9,0,1,0.76,0.58,0.2836,13445,7,1,0,0,1
442,10,0,1,0.76,0.58,0.1939999999999999,13446,7,1,1,0,0
451,19,0,1,0.84,0.44,0.2537,13455,7,1,1,0,0
454,22,0,1,0.66,0.89,0.2537,13458,7,1,0,1,0
459,3,0,1,0.66,0.89,0.1045,13463,7,1,0,0,1
460,4,0,1,0.66,0.89,0.1642,13464,7,1,0,0,1
464,8,0,1,0.68,0.83,0.1642,13468,7,1,0,0,1
467,11,0,1,0.72,0.74,0.1939999999999999,13471,7,1,0,1,0
471,15,0,1,0.7,0.84,0.2985,13475,7,1,0,0,1
473,17,0,1,0.66,0.89,0.4179,13477,7,1,0,0,1
475,19,0,1,0.64,0.83,0.2836,13479,7,1,0,0,1
477,21,0,1,0.62,0.83,0.3284,13481,7,1,0,1,0
480,0,0,0,0.62,0.83,0.2836,13484,7,1,0,1,0
481,1,0,0,0.62,0.83,0.2537,13485,7,1,0,0,1
484,4,0,0,0.58,0.88,0.2836,13488,7,1,0,1,0
488,8,0,0,0.58,0.83,0.2537,13492,7,1,0,0,1
493,13,0,0,0.6,0.83,0.1642,13497,7,1,0,1,0
494,14,0,0,0.6,0.88,0.2537,13498,7,1,0,0,1
495,15,0,0,0.6,0.88,0.2537,13499,7,1,0,1,0
496,16,0,0,0.6,0.88,0.1939999999999999,13500,7,1,0,1,0
503,23,0,0,0.6,0.88,0.0,13507,7,1,0,0,1
504,0,0,0,0.6,0.88,0.1045,13508,7,1,0,0,1
515,11,0,0,0.66,0.74,0.0,13519,7,1,0,0,1
516,12,0,0,0.7,0.7,0.1045,13520,7,1,0,0,1
519,15,0,0,0.72,0.66,0.1045,13523,7,1,1,0,0
530,2,0,1,0.66,0.94,0.0896,13534,7,1,0,0,1
537,9,0,1,0.74,0.74,0.1343,13541,7,1,0,0,1
539,11,0,1,0.8,0.52,0.1642,13543,7,1,0,0,1
544,16,0,1,0.82,0.52,0.1343,13548,7,1,1,0,0
552,0,0,1,0.7,0.74,0.1343,13556,7,1,1,0,0
555,3,0,1,0.66,0.83,0.1642,13559,7,1,1,0,0
557,5,0,1,0.66,0.83,0.1045,13561,7,1,1,0,0
562,10,0,1,0.82,0.56,0.2985,13566,7,1,1,0,0
572,20,0,1,0.74,0.66,0.1642,13576,7,1,1,0,0
573,21,0,1,0.74,0.66,0.2239,13577,7,1,1,0,0
574,22,0,1,0.74,0.66,0.2537,13578,7,1,1,0,0
575,23,0,1,0.74,0.58,0.3284,13579,7,1,1,0,0
576,0,0,1,0.72,0.58,0.2985,13580,7,1,1,0,0
583,7,0,1,0.66,0.5,0.3284,13587,7,1,1,0,0
588,12,0,1,0.76,0.33,0.0,13592,7,1,1,0,0
589,13,0,1,0.78,0.31,0.1642,13593,7,1,1,0,0
592,16,0,1,0.8,0.29,0.1642,13596,7,1,1,0,0
593,17,0,1,0.8,0.31,0.0,13597,7,1,1,0,0
596,20,0,1,0.74,0.4,0.1642,13600,7,1,1,0,0
601,1,0,1,0.66,0.65,0.2239,13605,7,1,1,0,0
604,4,0,1,0.66,0.74,0.1939999999999999,13608,7,1,1,0,0
608,8,0,1,0.7,0.74,0.2537,13612,7,1,0,0,1
609,9,0,1,0.72,0.7,0.1343,13613,7,1,0,0,1
612,12,0,1,0.84,0.56,0.2537,13616,7,1,1,0,0
622,22,0,1,0.8,0.49,0.6119,13626,7,1,1,0,0
629,5,0,1,0.7,0.84,0.0,13633,7,1,1,0,0
634,10,0,1,0.84,0.47,0.0,13638,7,1,1,0,0
635,11,0,1,0.84,0.47,0.3284,13639,7,1,1,0,0
636,12,0,1,0.84,0.49,0.3582,13640,7,1,1,0,0
638,14,0,1,0.86,0.47,0.2985,13642,7,1,1,0,0
639,15,0,1,0.86,0.41,0.2239,13643,7,1,1,0,0
649,1,0,0,0.72,0.7,0.0896,13653,7,1,1,0,0
658,10,0,0,0.82,0.52,0.2239,13662,7,1,1,0,0
661,13,0,0,0.86,0.41,0.2836,13665,7,1,1,0,0
665,17,0,0,0.82,0.46,0.1939999999999999,13669,7,1,1,0,0
673,1,0,0,0.66,0.83,0.1045,13677,7,1,1,0,0
686,14,0,0,0.8,0.46,0.1939999999999999,13690,7,1,1,0,0
695,23,0,0,0.7,0.7,0.0,13699,7,1,1,0,0
718,22,0,1,0.7,0.74,0.2239,13722,7,1,0,0,1
720,0,0,1,0.68,0.79,0.1343,13724,7,1,1,0,0
731,11,0,1,0.76,0.58,0.0,13735,7,1,1,0,0
744,0,0,1,0.68,0.79,0.1642,13748,8,1,1,0,0
750,6,0,1,0.64,0.78,0.1343,13754,8,1,1,0,0
751,7,0,1,0.64,0.83,0.1343,13755,8,1,0,0,1
752,8,0,1,0.66,0.78,0.1939999999999999,13756,8,1,0,0,1
755,11,0,1,0.76,0.58,0.0896,13759,8,1,1,0,0
757,13,0,1,0.8,0.52,0.1642,13761,8,1,1,0,0
762,18,0,1,0.76,0.62,0.2239,13766,8,1,0,1,0
763,19,0,1,0.74,0.66,0.2537,13767,8,1,1,0,0
766,22,0,1,0.72,0.7,0.1045,13770,8,1,1,0,0
769,1,0,1,0.68,0.79,0.1045,13773,8,1,1,0,0
781,13,0,1,0.86,0.44,0.2239,13785,8,1,1,0,0
790,22,0,1,0.74,0.7,0.1939999999999999,13794,8,1,1,0,0
791,23,0,1,0.72,0.7,0.2537,13795,8,1,1,0,0
795,3,0,1,0.68,0.79,0.2239,13799,8,1,1,0,0
806,14,0,1,0.86,0.44,0.2537,13810,8,1,0,0,1
815,23,0,1,0.74,0.79,0.1343,13819,8,1,1,0,0
818,2,0,0,0.72,0.84,0.1343,13822,8,1,1,0,0
819,3,0,0,0.72,0.84,0.1343,13823,8,1,1,0,0
826,10,0,0,0.82,0.57,0.1939999999999999,13830,8,1,1,0,0
830,14,0,0,0.88,0.4,0.3881,13834,8,1,1,0,0
836,20,0,0,0.82,0.52,0.2985,13840,8,1,1,0,0
837,21,0,0,0.8,0.59,0.2537,13841,8,1,1,0,0
843,3,0,0,0.72,0.74,0.2537,13847,8,1,1,0,0
846,6,0,0,0.72,0.79,0.2537,13850,8,1,1,0,0
855,15,0,0,0.9,0.37,0.5224,13859,8,1,1,0,0
862,22,0,0,0.72,0.79,0.0896,13866,8,1,1,0,0
867,3,0,1,0.72,0.79,0.0896,13871,8,1,0,1,0
881,17,0,1,0.82,0.41,0.0,13885,8,1,1,0,0
884,20,0,1,0.76,0.66,0.1642,13888,8,1,1,0,0
885,21,0,1,0.74,0.7,0.1939999999999999,13889,8,1,1,0,0
886,22,0,1,0.74,0.7,0.0896,13890,8,1,1,0,0
889,1,0,1,0.7,0.84,0.1343,13893,8,1,1,0,0
896,8,0,1,0.7,0.7,0.1642,13900,8,1,0,0,1
899,11,0,1,0.76,0.66,0.0896,13903,8,1,0,0,1
900,12,0,1,0.8,0.55,0.1343,13904,8,1,0,0,1
901,13,0,1,0.8,0.52,0.1939999999999999,13905,8,1,0,0,1
913,1,0,1,0.72,0.79,0.0,13917,8,1,1,0,0
924,12,0,1,0.8,0.52,0.0,13928,8,1,0,0,1
926,14,0,1,0.8,0.52,0.2537,13930,8,1,0,0,1
931,19,0,1,0.76,0.66,0.2239,13935,8,1,1,0,0
940,4,0,1,0.68,0.89,0.1343,13944,8,1,0,0,1
942,6,0,1,0.66,0.83,0.1642,13946,8,1,1,0,0
950,14,0,1,0.88,0.32,0.2239,13954,8,1,1,0,0
955,19,0,1,0.8,0.55,0.1939999999999999,13959,8,1,1,0,0
959,23,0,1,0.66,0.74,0.0,13963,8,1,1,0,0
977,17,0,1,0.8,0.52,0.2836,13981,8,1,1,0,0
978,18,0,1,0.76,0.62,0.2985,13982,8,1,1,0,0
979,19,0,1,0.76,0.62,0.2836,13983,8,1,1,0,0
983,23,0,1,0.72,0.7,0.2836,13987,8,1,1,0,0
992,8,0,0,0.66,0.83,0.1045,13996,8,1,1,0,0
997,13,0,0,0.8,0.49,0.3582,14001,8,1,1,0,0
998,14,0,0,0.8,0.49,0.2985,14002,8,1,1,0,0
999,15,0,0,0.8,0.46,0.2836,14003,8,1,1,0,0
1003,19,0,0,0.66,0.89,0.1045,14007,8,1,0,0,1
1006,22,0,0,0.66,0.89,0.1642,14010,8,1,0,0,1
1013,5,0,0,0.64,0.61,0.1939999999999999,14017,8,1,1,0,0
1016,8,0,0,0.66,0.54,0.2239,14020,8,1,1,0,0
1034,2,0,1,0.64,0.69,0.1045,14038,8,1,1,0,0
1038,6,0,1,0.62,0.73,0.0896,14042,8,1,1,0,0
1041,9,0,1,0.74,0.45,0.0,14045,8,1,0,0,1
1043,11,0,1,0.76,0.4,0.0896,14047,8,1,1,0,0
1053,21,0,1,0.72,0.66,0.1939999999999999,14057,8,1,1,0,0
1063,7,0,1,0.66,0.83,0.0896,14067,8,1,0,0,1
1068,12,0,1,0.78,0.49,0.1343,14072,8,1,1,0,0
1080,0,0,1,0.7,0.61,0.1939999999999999,14084,8,1,1,0,0
1089,9,0,1,0.72,0.62,0.1939999999999999,14093,8,1,0,0,1
1091,11,0,1,0.74,0.58,0.1939999999999999,14095,8,1,0,0,1
1092,12,0,1,0.74,0.55,0.2239,14096,8,1,1,0,0
1093,13,0,1,0.78,0.49,0.1939999999999999,14097,8,1,0,0,1
1100,20,0,1,0.7,0.61,0.1343,14104,8,1,1,0,0
1105,1,0,1,0.64,0.73,0.0,14109,8,1,1,0,0
1107,3,0,1,0.62,0.73,0.2537,14111,8,1,1,0,0
1110,6,0,1,0.6,0.78,0.1642,14114,8,1,1,0,0
1111,7,0,1,0.64,0.69,0.2239,14115,8,1,1,0,0
1112,8,0,1,0.68,0.61,0.1939999999999999,14116,8,1,1,0,0
1122,18,0,1,0.8,0.36,0.0,14126,8,1,1,0,0
1132,4,0,1,0.64,0.73,0.1642,14136,8,1,1,0,0
1133,5,0,1,0.64,0.73,0.1045,14137,8,1,1,0,0
1136,8,0,1,0.68,0.65,0.1343,14140,8,1,1,0,0
1147,19,0,1,0.74,0.55,0.3881,14151,8,1,0,0,1
1150,22,0,1,0.66,0.83,0.1939999999999999,14154,8,1,0,1,0
1153,1,0,0,0.62,0.94,0.1642,14157,8,1,0,1,0
1154,2,0,0,0.62,0.88,0.1642,14158,8,1,0,1,0
1159,7,0,0,0.6,0.83,0.2239,14163,8,1,1,0,0
1160,8,0,0,0.64,0.69,0.2537,14164,8,1,1,0,0
1165,13,0,0,0.74,0.4,0.1939999999999999,14169,8,1,1,0,0
1168,16,0,0,0.76,0.37,0.2537,14172,8,1,1,0,0
1176,0,0,0,0.66,0.57,0.0896,14180,8,1,1,0,0
1178,2,0,0,0.62,0.69,0.0896,14182,8,1,0,0,1
1182,6,0,0,0.62,0.69,0.1045,14186,8,1,0,0,1
1197,21,0,0,0.62,0.78,0.0896,14201,8,1,0,1,0
1200,0,0,1,0.6,0.83,0.1045,14204,8,1,0,0,1
1204,4,0,1,0.6,0.83,0.0896,14208,8,1,0,0,1
1210,10,0,1,0.64,0.69,0.0896,14214,8,1,0,0,1
1211,11,0,1,0.66,0.65,0.1045,14215,8,1,1,0,0
1218,18,0,1,0.62,0.78,0.2537,14222,8,1,0,0,1
1222,22,0,1,0.6,0.83,0.0,14226,8,1,0,0,1
1230,6,0,1,0.56,0.83,0.1045,14234,8,1,1,0,0
1231,7,0,1,0.6,0.78,0.1045,14235,8,1,1,0,0
1232,8,0,1,0.6,0.78,0.1343,14236,8,1,1,0,0
1235,11,0,1,0.7,0.54,0.0,14239,8,1,1,0,0
1238,14,0,1,0.76,0.37,0.0896,14242,8,1,1,0,0
1239,15,0,1,0.76,0.37,0.0,14243,8,1,1,0,0
1242,18,0,1,0.72,0.54,0.2239,14246,8,1,1,0,0
1246,22,0,1,0.64,0.78,0.0,14250,8,1,1,0,0
1249,1,0,1,0.62,0.78,0.0,14253,8,1,1,0,0
1267,19,0,1,0.66,0.74,0.0,14271,8,1,0,0,1
1268,20,0,1,0.64,0.73,0.1939999999999999,14272,8,1,1,0,0
1275,3,0,1,0.62,0.83,0.0896,14279,8,1,1,0,0
1277,5,0,1,0.62,0.83,0.0,14281,8,1,1,0,0
1281,9,0,1,0.7,0.7,0.0,14285,8,1,0,0,1
1282,10,0,1,0.74,0.58,0.0896,14286,8,1,1,0,0
1283,11,0,1,0.76,0.48,0.0896,14287,8,1,1,0,0
1295,23,0,1,0.66,0.69,0.0,14299,8,1,0,0,1
1298,2,0,1,0.66,0.69,0.0,14302,8,1,1,0,0
1310,14,0,1,0.78,0.43,0.1045,14314,8,1,1,0,0
1323,3,0,0,0.66,0.69,0.0896,14327,8,1,1,0,0
1325,5,0,0,0.64,0.73,0.1642,14329,8,1,0,0,1
1327,7,0,0,0.64,0.78,0.1939999999999999,14331,8,1,0,0,1
1328,8,0,0,0.66,0.74,0.2537,14332,8,1,0,0,1
1329,9,0,0,0.68,0.69,0.2836,14333,8,1,0,0,1
1339,19,0,0,0.64,0.78,0.2985,14343,8,1,0,0,1
1343,23,0,0,0.62,0.83,0.2537,14347,8,1,0,0,1
1346,2,0,0,0.64,0.89,0.2239,14350,8,1,0,0,1
1350,6,0,0,0.62,0.88,0.2985,14354,8,1,1,0,0
1363,19,0,0,0.64,0.89,0.1642,14367,8,1,0,0,1
1378,10,0,1,0.72,0.74,0.1343,14382,8,1,1,0,0
1381,13,0,1,0.76,0.57,0.1642,14385,8,1,1,0,0
1382,14,0,1,0.8,0.49,0.0896,14386,8,1,1,0,0
1389,21,0,1,0.72,0.74,0.1939999999999999,14393,8,1,1,0,0
1392,0,0,1,0.7,0.84,0.2537,14396,8,1,1,0,0
1395,3,0,1,0.66,0.89,0.1343,14399,8,1,1,0,0
1399,7,0,1,0.66,0.83,0.1045,14403,8,1,0,0,1
1406,14,0,1,0.84,0.38,0.3284,14410,8,1,1,0,0
1409,17,0,1,0.8,0.35,0.3881,14413,8,1,1,0,0
1418,2,0,1,0.62,0.73,0.1343,14422,8,1,1,0,0
1421,5,0,1,0.6,0.73,0.1939999999999999,14425,8,1,1,0,0
1425,9,0,1,0.7,0.51,0.1939999999999999,14429,8,1,1,0,0
1428,12,0,1,0.76,0.4,0.0,14432,8,1,1,0,0
1433,17,0,1,0.78,0.35,0.2239,14437,8,1,1,0,0
1435,19,0,1,0.7,0.54,0.1939999999999999,14439,8,1,1,0,0
1445,5,0,1,0.62,0.73,0.0,14449,8,1,1,0,0
1447,7,0,1,0.64,0.73,0.0,14451,8,1,1,0,0
1452,12,0,1,0.76,0.45,0.1343,14456,8,1,1,0,0
1454,14,0,1,0.76,0.48,0.1343,14458,8,1,1,0,0
1461,21,0,1,0.72,0.66,0.1343,14465,8,1,1,0,0
1475,11,0,1,0.86,0.28,0.2985,14479,8,1,1,0,0
1482,18,0,1,0.86,0.36,0.2537,14486,8,1,1,0,0
1485,21,0,1,0.76,0.58,0.1939999999999999,14489,8,1,1,0,0
1487,23,0,1,0.74,0.62,0.1045,14491,8,1,1,0,0
