,displ,hp,weight,accel,size,origin_Asia,origin_Europe,origin_US
157,108.0,75,2350,16.8,10.0,1,0,0
158,97.0,88,2130,14.5,10.0,1,0,0
159,350.0,155,4502,13.5,20.0,0,0,1
160,91.0,68,1970,17.6,10.0,1,0,0
161,151.0,90,2678,16.5,10.0,0,0,1
162,135.0,84,2490,15.7,10.0,0,0,1
163,120.0,87,2979,19.5,10.0,0,1,0
164,121.0,112,2868,15.5,10.0,0,1,0
165,110.0,87,2672,17.5,10.0,0,1,0
166,350.0,125,3900,17.4,20.0,0,0,1
167,156.0,108,2930,15.5,15.0,1,0,0
168,351.0,142,4054,14.3,20.0,0,0,1
169,119.0,97,2405,14.9,10.0,1,0,0
170,250.0,105,3353,14.5,15.0,0,0,1
171,97.0,75,2171,16.0,10.0,1,0,0
172,302.0,137,4042,14.5,20.0,0,0,1
173,318.0,150,3399,11.0,20.0,0,0,1
174,112.0,88,2640,18.6,10.0,0,0,1
175,350.0,145,4440,14.0,20.0,0,0,1
176,98.0,63,2051,17.0,10.0,0,0,1
177,104.0,95,2375,17.5,10.0,0,1,0
178,305.0,140,4215,13.0,20.0,0,0,1
179,112.0,88,2395,18.0,10.0,0,0,1
180,262.0,85,3015,17.0,15.0,0,0,1
181,79.0,70,2074,19.5,10.0,0,1,0
182,200.0,85,2990,18.2,15.0,0,0,1
183,121.0,115,2671,13.5,10.0,0,1,0
184,122.0,86,2226,16.5,10.0,0,0,1
185,98.0,79,2255,17.7,10.0,0,0,1
186,168.0,120,3820,16.7,15.0,0,1,0
187,258.0,120,3410,15.1,15.0,0,0,1
188,86.0,65,2110,17.9,10.0,1,0,0
189,121.0,110,2600,12.8,10.0,0,1,0
190,454.0,220,4354,9.0,20.0,0,0,1
191,121.0,115,2795,15.7,10.0,0,1,0
192,350.0,170,4165,11.4,20.0,0,0,1
193,225.0,100,3430,17.2,15.0,0,0,1
194,260.0,90,3420,22.2,20.0,0,0,1
195,455.0,225,4951,11.0,20.0,0,0,1
196,200.0,85,2965,15.8,15.0,0,0,1
197,98.0,65,2045,16.2,10.0,0,0,1
198,120.0,97,2506,14.5,10.0,1,0,0
199,151.0,90,3003,20.1,10.0,0,0,1
200,232.0,90,3211,17.0,15.0,0,0,1
201,68.0,49,1867,19.5,10.0,0,1,0
202,173.0,110,2725,12.6,15.0,0,0,1
203,108.0,70,2245,16.9,10.0,1,0,0
204,119.0,92,2434,15.0,10.0,1,0,0
205,91.0,53,1795,17.5,10.0,1,0,0
206,232.0,100,2789,15.0,15.0,0,0,1
207,390.0,190,3850,8.5,20.0,0,0,1
208,105.0,63,2215,14.9,10.0,0,0,1
209,232.0,90,3210,17.2,15.0,0,0,1
210,91.0,67,1965,15.7,10.0,1,0,0
211,86.0,65,1975,15.2,10.0,1,0,0
212,107.0,75,2210,14.4,10.0,1,0,0
213,225.0,100,3651,17.7,15.0,0,0,1
214,258.0,110,3730,19.0,15.0,0,0,1
215,89.0,60,1968,18.8,10.0,1,0,0
216,108.0,93,2391,15.5,10.0,1,0,0
217,97.0,88,2100,16.5,10.0,1,0,0
218,318.0,150,4498,14.5,20.0,0,0,1
219,250.0,100,3329,15.5,15.0,0,0,1
220,318.0,150,3940,13.2,20.0,0,0,1
221,112.0,88,2605,19.6,10.0,0,0,1
222,455.0,225,3086,10.0,20.0,0,0,1
223,98.0,68,2045,18.5,10.0,1,0,0
224,105.0,70,2150,14.9,10.0,0,0,1
225,429.0,208,4633,11.0,20.0,0,0,1
226,250.0,105,3897,18.5,15.0,0,0,1
227,120.0,74,2635,18.3,10.0,1,0,0
228,225.0,90,3381,18.7,15.0,0,0,1
229,250.0,110,3645,16.2,15.0,0,0,1
230,250.0,72,3432,21.0,15.0,0,0,1
231,199.0,97,2774,15.5,15.0,0,0,1
232,122.0,88,2500,15.1,10.0,0,1,0
233,200.0,88,3060,17.1,15.0,0,0,1
234,302.0,129,3169,12.0,20.0,0,0,1
235,112.0,85,2575,16.2,10.0,0,0,1
236,122.0,86,2395,16.0,10.0,0,0,1
237,400.0,150,4997,14.0,20.0,0,0,1
238,85.0,70,1945,16.8,10.0,1,0,0
239,90.0,48,1985,21.5,10.0,0,1,0
240,183.0,77,3530,20.1,12.5,0,1,0
241,85.0,65,2110,19.2,10.0,1,0,0
242,400.0,175,4385,12.0,20.0,0,0,1
243,134.0,90,2711,15.5,10.0,1,0,0
244,318.0,150,4190,13.0,20.0,0,0,1
245,225.0,110,3360,16.6,15.0,0,0,1
246,307.0,130,3504,12.0,20.0,0,0,1
247,91.0,53,1795,17.4,10.0,1,0,0
248,85.0,65,2020,19.2,10.0,1,0,0
249,351.0,158,4363,13.0,20.0,0,0,1
250,198.0,95,3102,16.5,15.0,0,0,1
251,83.0,61,2003,19.0,10.0,1,0,0
252,440.0,215,4735,11.0,20.0,0,0,1
253,70.0,100,2420,12.5,7.5,1,0,0
254,305.0,145,3425,13.2,20.0,0,0,1
255,91.0,68,2025,18.2,10.0,1,0,0
256,318.0,150,3436,11.0,20.0,0,0,1
257,120.0,88,3270,21.9,10.0,0,1,0
258,97.0,67,2065,17.8,10.0,1,0,0
259,225.0,105,3121,16.5,15.0,0,0,1
260,360.0,175,3821,11.0,20.0,0,0,1
261,350.0,160,4456,13.5,20.0,0,0,1
262,105.0,74,1980,15.3,10.0,0,1,0
263,318.0,135,3830,15.2,20.0,0,0,1
264,232.0,100,2634,13.0,15.0,0,0,1
265,146.0,67,3250,21.8,10.0,0,1,0
266,429.0,198,4341,10.0,20.0,0,0,1
267,350.0,180,3664,11.0,20.0,0,0,1
268,360.0,215,4615,14.0,20.0,0,0,1
269,250.0,100,3278,18.0,15.0,0,0,1
270,455.0,225,4425,10.0,20.0,0,0,1
271,350.0,155,4360,14.9,20.0,0,0,1
272,360.0,170,4654,13.0,20.0,0,0,1
273,116.0,81,2220,16.9,10.0,0,1,0
274,200.0,85,2587,16.0,15.0,0,0,1
275,134.0,95,2515,14.8,10.0,1,0,0
276,122.0,80,2451,16.5,10.0,0,0,1
277,97.0,92,2288,17.0,10.0,1,0,0
278,90.0,70,1937,14.0,10.0,0,1,0
279,351.0,149,4335,14.5,20.0,0,0,1
280,151.0,84,2635,16.4,10.0,0,0,1
281,70.0,97,2330,13.5,7.5,1,0,0
282,78.0,52,1985,19.4,10.0,1,0,0
283,140.0,72,2408,19.0,10.0,0,0,1
284,122.0,85,2310,18.5,10.0,0,0,1
285,76.0,52,1649,16.5,10.0,1,0,0
286,115.0,95,2694,15.0,10.0,0,1,0
287,97.0,71,1825,12.2,10.0,0,1,0
288,318.0,140,4080,13.7,20.0,0,0,1
289,250.0,100,3282,15.0,15.0,0,0,1
290,134.0,96,2702,13.5,10.0,1,0,0
291,304.0,150,4257,15.5,20.0,0,0,1
292,90.0,75,2125,14.5,10.0,0,0,1
293,155.0,107,2472,14.0,15.0,0,0,1
294,231.0,110,3415,15.8,15.0,0,0,1
295,107.0,75,2205,14.5,10.0,1,0,0
296,171.0,97,2984,14.5,15.0,0,0,1
297,163.0,133,3410,15.8,15.0,0,1,0
298,85.0,70,2070,18.6,10.0,1,0,0
299,97.0,67,1985,16.4,10.0,1,0,0
300,121.0,112,2933,14.5,10.0,0,1,0
301,305.0,145,3880,12.5,20.0,0,0,1
302,173.0,115,2595,11.3,15.0,0,0,1
303,121.0,98,2945,14.5,10.0,0,1,0
304,105.0,70,2200,13.2,10.0,0,0,1
305,97.0,78,2190,14.1,10.0,0,1,0
306,400.0,230,4278,9.5,20.0,0,0,1
307,105.0,63,2125,14.7,10.0,0,0,1
308,98.0,76,2144,14.7,10.0,0,1,0
309,156.0,105,2800,14.4,10.0,0,0,1
310,198.0,95,2833,15.5,15.0,0,0,1
311,89.0,62,1845,15.3,10.0,0,1,0
312,231.0,165,3445,13.4,15.0,0,0,1
313,350.0,165,3693,11.5,20.0,0,0,1
314,340.0,160,3609,8.0,20.0,0,0,1
315,400.0,190,4325,12.2,20.0,0,0,1
316,258.0,95,3193,17.8,15.0,0,0,1
317,350.0,180,4499,12.5,20.0,0,0,1
318,97.0,78,1940,14.5,10.0,0,1,0
319,304.0,120,3962,13.9,20.0,0,0,1
320,98.0,80,1915,14.4,10.0,0,0,1
321,97.0,75,2265,18.2,10.0,1,0,0
322,98.0,68,2155,16.5,10.0,0,0,1
323,97.0,67,2145,18.0,10.0,1,0,0
324,225.0,95,3785,19.0,15.0,0,0,1
325,302.0,140,4294,16.0,20.0,0,0,1
326,262.0,110,3221,13.5,20.0,0,0,1
327,107.0,72,2290,17.0,10.0,1,0,0
328,304.0,150,3433,12.0,20.0,0,0,1
329,134.0,95,2560,14.2,10.0,1,0,0
330,97.0,54,2254,23.5,10.0,0,1,0
331,351.0,153,4129,13.0,20.0,0,0,1
332,305.0,130,3840,15.4,20.0,0,0,1
333,400.0,170,4668,11.5,20.0,0,0,1
334,122.0,86,2220,14.0,10.0,0,0,1
335,119.0,97,2545,17.0,10.0,1,0,0
336,151.0,90,2735,18.0,10.0,0,0,1
337,350.0,145,4082,13.0,20.0,0,0,1
338,140.0,86,2790,15.6,10.0,0,0,1
339,120.0,79,2625,18.6,10.0,0,0,1
340,350.0,165,4209,12.0,20.0,0,0,1
341,98.0,83,2075,15.9,10.0,0,0,1
342,86.0,64,1875,16.4,10.0,0,0,1
343,140.0,92,2865,16.4,10.0,0,0,1
344,140.0,72,2565,13.6,10.0,0,0,1
345,318.0,140,3735,13.2,20.0,0,0,1
346,318.0,150,4135,13.5,20.0,0,0,1
347,122.0,96,2300,15.5,10.0,0,0,1
348,304.0,150,3672,11.5,20.0,0,0,1
349,121.0,80,2670,15.0,10.0,0,0,1
350,302.0,130,3870,15.0,20.0,0,0,1
351,225.0,100,3630,17.7,15.0,0,0,1
352,163.0,125,3140,13.6,15.0,0,1,0
353,116.0,90,2123,14.0,10.0,0,1,0
354,108.0,94,2379,16.5,10.0,1,0,0
355,88.0,76,2065,14.5,10.0,0,1,0
356,70.0,90,2124,13.5,7.5,1,0,0
357,318.0,150,4077,14.0,20.0,0,0,1
358,146.0,97,2815,14.5,15.0,1,0,0
359,151.0,85,2855,17.6,10.0,0,0,1
360,200.0,81,3012,17.6,15.0,0,0,1
361,97.0,78,2300,14.5,10.0,0,1,0
362,97.0,46,1950,21.0,10.0,0,1,0
363,135.0,84,2385,12.9,10.0,0,0,1
364,90.0,70,1937,14.2,10.0,0,1,0
365,351.0,153,4154,13.5,20.0,0,0,1
366,168.0,116,2900,12.6,15.0,1,0,0
367,232.0,100,2901,16.0,15.0,0,0,1
368,400.0,167,4906,12.5,20.0,0,0,1
369,97.0,88,2279,19.0,10.0,1,0,0
370,97.0,88,2130,14.5,10.0,1,0,0
371,140.0,88,2890,17.3,10.0,0,0,1
372,307.0,200,4376,15.0,20.0,0,0,1
373,267.0,125,3605,15.0,20.0,0,0,1
374,156.0,92,2585,14.5,10.0,0,0,1
375,258.0,110,3632,18.0,15.0,0,0,1
376,91.0,69,2130,14.7,10.0,0,1,0
377,79.0,67,1963,15.5,10.0,0,1,0
378,232.0,90,3265,18.2,15.0,0,0,1
379,318.0,150,3755,14.0,20.0,0,0,1
380,199.0,90,2648,15.0,15.0,0,0,1
381,90.0,71,2223,16.5,10.0,0,1,0
382,231.0,105,3425,16.9,15.0,0,0,1
383,89.0,62,2050,17.3,10.0,1,0,0
384,120.0,88,2160,14.5,10.0,1,0,0
385,156.0,122,2807,13.5,15.0,1,0,0
386,85.0,65,1975,19.4,10.0,1,0,0
387,250.0,88,3021,16.5,15.0,0,0,1
388,151.0,90,2950,17.3,10.0,0,0,1
389,98.0,68,2135,16.6,10.0,1,0,0
390,250.0,110,3520,16.4,15.0,0,0,1
391,140.0,88,2720,15.4,10.0,0,0,1
