,displ,hp,weight,accel,size,origin_Asia,origin_Europe,origin_US
370,97.0,88,2130,14.5,10.0,1,0,0
332,305.0,130,3840,15.4,20.0,0,0,1
164,121.0,112,2868,15.5,10.0,0,1,0
175,350.0,145,4440,14.0,20.0,0,0,1
389,98.0,68,2135,16.6,10.0,1,0,0
306,400.0,230,4278,9.5,20.0,0,0,1
96,91.0,67,1850,13.8,10.0,1,0,0
205,91.0,53,1795,17.5,10.0,1,0,0
374,156.0,92,2585,14.5,10.0,0,0,1
41,135.0,84,2370,13.0,10.0,0,0,1
63,140.0,75,2542,17.0,10.0,0,0,1
222,455.0,225,3086,10.0,20.0,0,0,1
196,200.0,85,2965,15.8,15.0,0,0,1
248,85.0,65,2020,19.2,10.0,1,0,0
13,351.0,148,4657,13.5,20.0,0,0,1
262,105.0,74,1980,15.3,10.0,0,1,0
179,112.0,88,2395,18.0,10.0,0,0,1
17,119.0,82,2720,19.4,10.0,0,0,1
233,200.0,88,3060,17.1,15.0,0,0,1
11,151.0,88,2740,16.0,10.0,0,0,1
280,151.0,84,2635,16.4,10.0,0,0,1
207,390.0,190,3850,8.5,20.0,0,0,1
90,98.0,60,2164,22.1,10.0,0,0,1
51,302.0,129,3725,13.4,20.0,0,0,1
85,114.0,91,2582,14.0,10.0,0,1,0
124,111.0,80,2155,14.8,10.0,0,0,1
161,151.0,90,2678,16.5,10.0,0,0,1
88,91.0,67,1995,16.2,10.0,1,0,0
287,97.0,71,1825,12.2,10.0,0,1,0
344,140.0,72,2565,13.6,10.0,0,0,1
95,400.0,150,4464,12.0,20.0,0,0,1
270,455.0,225,4425,10.0,20.0,0,0,1
39,85.0,52,2035,22.2,10.0,0,0,1
86,350.0,150,4699,14.5,20.0,0,0,1
181,79.0,70,2074,19.5,10.0,0,1,0
265,146.0,67,3250,21.8,10.0,0,1,0
116,79.0,58,1755,16.9,10.0,1,0,0
145,97.0,75,2155,16.4,10.0,1,0,0
158,97.0,88,2130,14.5,10.0,1,0,0
321,97.0,75,2265,18.2,10.0,1,0,0
311,89.0,62,1845,15.3,10.0,0,1,0
286,115.0,95,2694,15.0,10.0,0,1,0
272,360.0,170,4654,13.0,20.0,0,0,1
200,232.0,90,3211,17.0,15.0,0,0,1
71,96.0,69,2189,18.0,10.0,0,1,0
301,305.0,145,3880,12.5,20.0,0,0,1
330,97.0,54,2254,23.5,10.0,0,1,0
282,78.0,52,1985,19.4,10.0,1,0,0
327,107.0,72,2290,17.0,10.0,1,0,0
365,351.0,153,4154,13.5,20.0,0,0,1
304,105.0,70,2200,13.2,10.0,0,0,1
133,318.0,150,4096,13.0,20.0,0,0,1
60,71.0,65,1773,19.0,10.0,1,0,0
314,340.0,160,3609,8.0,20.0,0,0,1
377,79.0,67,1963,15.5,10.0,0,1,0
100,130.0,102,3150,15.7,10.0,0,1,0
19,80.0,110,2720,13.5,7.5,1,0,0
302,173.0,115,2595,11.3,15.0,0,0,1
364,90.0,70,1937,14.2,10.0,0,1,0
264,232.0,100,2634,13.0,15.0,0,0,1
276,122.0,80,2451,16.5,10.0,0,0,1
8,302.0,130,4295,14.9,20.0,0,0,1
92,181.0,110,2945,16.4,15.0,0,0,1
252,440.0,215,4735,11.0,20.0,0,0,1
32,140.0,83,2639,17.0,10.0,0,0,1
135,86.0,65,2019,16.4,10.0,1,0,0
22,302.0,140,4141,14.0,20.0,0,0,1
62,250.0,100,3781,17.0,15.0,0,0,1
379,318.0,150,3755,14.0,20.0,0,0,1
215,89.0,60,1968,18.8,10.0,1,0,0
325,302.0,140,4294,16.0,20.0,0,0,1
334,122.0,86,2220,14.0,10.0,0,0,1
257,120.0,88,3270,21.9,10.0,0,1,0
52,113.0,95,2228,14.0,10.0,1,0,0
326,262.0,110,3221,13.5,20.0,0,0,1
173,318.0,150,3399,11.0,20.0,0,0,1
35,116.0,75,2158,15.5,10.0,0,1,0
178,305.0,140,4215,13.0,20.0,0,0,1
167,156.0,108,2930,15.5,15.0,1,0,0
226,250.0,105,3897,18.5,15.0,0,0,1
120,101.0,83,2202,15.3,10.0,0,1,0
275,134.0,95,2515,14.8,10.0,1,0,0
44,98.0,65,2380,20.7,10.0,0,0,1
300,121.0,112,2933,14.5,10.0,0,1,0
76,232.0,90,3085,17.6,15.0,0,0,1
208,105.0,63,2215,14.9,10.0,0,0,1
212,107.0,75,2210,14.4,10.0,1,0,0
267,350.0,180,3664,11.0,20.0,0,0,1
216,108.0,93,2391,15.5,10.0,1,0,0
342,86.0,64,1875,16.4,10.0,0,0,1
9,302.0,140,3449,10.5,20.0,0,0,1
320,98.0,80,1915,14.4,10.0,0,0,1
359,151.0,85,2855,17.6,10.0,0,0,1
285,76.0,52,1649,16.5,10.0,1,0,0
295,107.0,75,2205,14.5,10.0,1,0,0
104,120.0,88,2957,17.0,10.0,0,1,0
312,231.0,165,3445,13.4,15.0,0,0,1
341,98.0,83,2075,15.9,10.0,0,0,1
386,85.0,65,1975,19.4,10.0,1,0,0
91,350.0,175,4100,13.0,20.0,0,0,1
182,200.0,85,2990,18.2,15.0,0,0,1
315,400.0,190,4325,12.2,20.0,0,0,1
358,146.0,97,2815,14.5,15.0,1,0,0
172,302.0,137,4042,14.5,20.0,0,0,1
232,122.0,88,2500,15.1,10.0,0,1,0
36,302.0,140,4638,16.0,20.0,0,0,1
156,151.0,90,2556,13.2,10.0,0,0,1
2,91.0,60,1800,16.4,10.0,1,0,0
242,400.0,175,4385,12.0,20.0,0,0,1
308,98.0,76,2144,14.7,10.0,0,1,0
289,250.0,100,3282,15.0,15.0,0,0,1
48,98.0,70,2120,15.5,10.0,0,0,1
141,231.0,105,3380,15.8,15.0,0,0,1
223,98.0,68,2045,18.5,10.0,1,0,0
183,121.0,115,2671,13.5,10.0,0,1,0
331,351.0,153,4129,13.0,20.0,0,0,1
348,304.0,150,3672,11.5,20.0,0,0,1
160,91.0,68,1970,17.6,10.0,1,0,0
219,250.0,100,3329,15.5,15.0,0,0,1
99,156.0,105,2745,16.7,10.0,0,0,1
235,112.0,85,2575,16.2,10.0,0,0,1
117,351.0,152,4215,12.8,20.0,0,0,1
1,304.0,193,4732,18.5,20.0,0,0,1
113,400.0,170,4746,12.0,20.0,0,0,1
368,400.0,167,4906,12.5,20.0,0,0,1
174,112.0,88,2640,18.6,10.0,0,0,1
253,70.0,100,2420,12.5,7.5,1,0,0
347,122.0,96,2300,15.5,10.0,0,0,1
184,122.0,86,2226,16.5,10.0,0,0,1
165,110.0,87,2672,17.5,10.0,0,1,0
274,200.0,85,2587,16.0,15.0,0,0,1
192,350.0,170,4165,11.4,20.0,0,0,1
0,250.0,88,3139,14.5,15.0,0,0,1
54,98.0,83,2219,16.5,10.0,0,1,0
28,231.0,110,3039,15.0,15.0,0,0,1
206,232.0,100,2789,15.0,15.0,0,0,1
49,250.0,100,3336,17.0,15.0,0,0,1
350,302.0,130,3870,15.0,20.0,0,0,1
20,225.0,95,3264,16.0,15.0,0,0,1
293,155.0,107,2472,14.0,15.0,0,0,1
176,98.0,63,2051,17.0,10.0,0,0,1
335,119.0,97,2545,17.0,10.0,1,0,0
33,225.0,85,3465,16.6,15.0,0,0,1
171,97.0,75,2171,16.0,10.0,1,0,0
7,121.0,76,2511,18.0,10.0,0,1,0
318,97.0,78,1940,14.5,10.0,0,1,0
390,250.0,110,3520,16.4,15.0,0,0,1
106,250.0,78,3574,21.0,15.0,0,0,1
97,200.0,95,3155,18.2,15.0,0,0,1
110,97.0,60,1834,19.0,10.0,0,1,0
360,200.0,81,3012,17.6,15.0,0,0,1
69,98.0,80,2164,15.0,10.0,0,0,1
346,318.0,150,4135,13.5,20.0,0,0,1
129,225.0,110,3620,18.7,15.0,0,0,1
316,258.0,95,3193,17.8,15.0,0,0,1
258,97.0,67,2065,17.8,10.0,1,0,0
322,98.0,68,2155,16.5,10.0,0,0,1
150,350.0,165,4274,12.0,20.0,0,0,1
337,350.0,145,4082,13.0,20.0,0,0,1
26,144.0,96,2665,13.9,10.0,1,0,0
93,113.0,95,2278,15.5,10.0,1,0,0
148,156.0,92,2620,14.4,10.0,0,0,1
119,302.0,139,3570,12.8,20.0,0,0,1
138,250.0,105,3459,16.0,15.0,0,0,1
169,119.0,97,2405,14.9,10.0,1,0,0
363,135.0,84,2385,12.9,10.0,0,0,1
202,173.0,110,2725,12.6,15.0,0,0,1
147,400.0,190,4422,12.5,20.0,0,0,1
277,97.0,92,2288,17.0,10.0,1,0,0
256,318.0,150,3436,11.0,20.0,0,0,1
131,97.5,80,2126,17.0,10.0,0,0,1
249,351.0,158,4363,13.0,20.0,0,0,1
152,89.0,71,1990,14.9,10.0,0,1,0
362,97.0,46,1950,21.0,10.0,0,1,0
